brands_tag,brands,sample_codes,count,row_number
kroger,Kroger,"[01110258, 0011110609335, 0011110596710, 0011110506603, 0011110809810, 0011110017314, 0011110809391, 0011110904638, 0011110020734, 0041573523305, 0011110080363, 0011110221131, 0011110100306, 0011110003164, 0011110039316, 0011110086419, 0011110222398, 0011110097828, 0011110094728, 0011110100320]",4380,1
boni,Boni,"[5400141236583, 5400141161632, 5400141383478, 5400141054002, 5400141127089, 5400141233445, 5400141103571, 5400141189766, 5400141352825, 5400141213560, 5400141160352, 5400141214031, 5400141193503, 5400141195675, 5400141232974, 5400141097375, 5400141049459, 5400141099430, 5400141410327, 5400141269949]",4248,1
morrisons,Morrisons,"[5010251884989, 5010251737100, 5010251878469, 5010251737087, 5010251953760, 5010251755197, 5010251454991, 5010251535478, 5010251602859, 5010251987000, 5010251795308, 5010251634003, 5010251525196, 5010251581994, 5010251521495, 5010251879244, 5010251332817, 5010251508977, 5010251933243, 5010251953128]",4170,1
jumbo,Jumbo,"[8718449063785, 87338010, 8718452257157, 8718452241033, 6133320000352, 8718452312009, 8718452367887, 8718452378173, 8410300353867, 8718452369669, 8718452262458, 8718452347056, 8718452502080, 8718452448623, 8718452483389, 8718452454587, 8718452625222, 8718452290369, 8718452540280, 2333445002598]",4096,1
trader-joe-s,Trader Joe's,"[00504430, 00525152, 00722704, 0260517404955, 29062829, 00538480, 00712392, 27005446, 00808675, 00113649, 00618960, 00428903, 26049946, 00197519, 29066285, 00559706, 00586009, 00910224, 00635622, 00563178]",3835,1
waitrose,Waitrose,"[5000169117750, 5000169008652, 5000169526101, 5000169237496, 5000169154144, 5000169027790, 5000169414279, 5000169529393, 5000169132777, 5000169550786, 5000169492727, 5000169114339, 5000169494127, 5000169043257, 5000169566558, 5000169227374, 5000169002162, 5000169526453, 5000169380703, 5000169089194]",3823,1
haribo,Haribo,"[4001686216361, 8426617066734, 3103220020609, 66695554, 4001686208076, 3103220044049, 5012035950606, 4001686333662, 8426617315108, 3103220086759, 15895868, 3103220044605, 4001686405154, 5012035951153, 4001686460085, 3103220000052, 3103220045206, 3103220037669, 4001686472361, 3103220046173]",3690,1
wegmans,Wegmans,"[0077890333556, 0077890186756, 0077890256053, 0077890414576, 0077890432532, 2027439005008, 0077890464656, 0077890493045, 0077890327081, 8967060320214, 0077890237014, 0077890495100, 0077890665459, 0077890432556, 0011290454176, 0077890471449, 0077890518205, 0077890529874, 0077890261590, 0077890298633]",3637,1
picard,Picard,"[3270160821747, 3270160890682, 3270160821716, 3270160488063, 3270160841066, 3270160821631, 3270160821624, 3270160861323, 3270160890705, 3270160680436, 3270160890910, 3270160851874, 3270160851867, 3270160840991, 0201556037063, 95037509, 3270160879588, 3270160891191, 3270160884360, 3270160822782]",3604,1
meijer,Meijer,"[0713733702744, 0760236174332, 0719283614117, 0719283536020, 0713733050258, 0708820372672, 0719283536068, 0708820034716, 0708820734036, 0231542112863, 0708820023963, 0708820050525, 0708820052253, 0708820056602, 0708820106482, 0708820109322, 0708820115101, 0708820145559, 0708820170230, 0708820211421]",3601,1
le-gaulois,Le Gaulois,"[0217827024076, 2487381018561, 2454151034045, 2276455023224, 2424503049928, 0217634015410, 2431625059438, 3266980887377, 2255111029527, 2137774011609, 2159357008356, 0217637037068, 2431638015353, 2431638024140, 2449376037728, 0217199034703, 0217675016469, 3266980862367, 3266980675615, 3266980194734]",3590,1
penny,Penny,"[28293606, 24731676, 27000946, 28300854, 28412410, 23756274, 8024370004705, 22974846, 28088981, 28276296, 22954589, 28377658, 21370212, 21104657, 8024370015367, 8024370109356, 8024370060770, 8024370061043, 8024370104566, 8024370061364]",3520,1
monoprix,Monoprix,"[3350033547179, 3350033549173, 3350033525641, 3350033083288, 0200006026473, 3350033214026, 3350030197216, 3760246091985, 3350033601529, 3350033392168, 3350033601536, 3350033616646, 3350033589308, 2251663011942, 2200974041131, 3350033476417, 2251663011416, 2251663012000, 3000208046494, 3350033634954]",3462,1
leclerc,Leclerc,"[3000000000038, 0209722004925, 3187670050782, 0207822005903, 0201314018174, 3614702045633, 3461181370936, 2000000082417, 0208824019356, 2000001751909, 0064042006086, 2071102000005, 0216506025588, 3047482300218, 2000000001753, 2000000011561, 2000000030876, 3000000000977, 3000000008065, 0287250018690]",3256,1
h-e-b,H-E-B,"[0041220904020, 0041220721726, 0041220975358, 0041220952175, 0041220697236, 0041220208265, 0041220990771, 0041220775903, 0041220784004, 0041220891429, 0041220844524, 0041220163540, 0041220703777, 0041220944484, 0041220478170, 0041220844050, 0041220713493, 0041220703821, 0041220498567, 0041220362691]",3239,1
danone,Danone,"[7501032398361, 7501032398408, 7501032399085, 6111206000535, 7501032396022, 7501032395308, 7501032398514, 7501032335052, 7501032395902, 75026196, 3033491395550, 5410146417757, 8426641000490, 5410146417689, 8410500021801, 8595002104839, 6111032007210, 3330261045203, 3033491426100, 6130646003227]",3030,1
dia,Dia,"[8480017087706, 8480017701527, 8480017042811, 8480017104106, 8480017207463, 8480017110541, 8480017139801, 8480017192585, 8480017085917, 8480017157096, 8480017567796, 8480017172693, 8480017520722, 8480017176035, 8480017571342, 8480017212214, 8480017680426, 8480017168665, 8480017165367, 8480017107282]",2904,1
woolworths,Woolworths,"[9300633945138, 9300633634476, 9339687022359, 9339687022441, 9300633637095, 9339687216437, 0023012205263, 9300633167424, 9339687219292, 0023012204488, 9339687044658, 9300633215880, 9339687085071, 9400597032155, 9300633396510, 9339687234479, 9400597024259, 0414608106093, 9339687161492, 9339687214907]",2886,1
eroski,Eroski,"[8480010177763, 8480010167016, 8480010100051, 8480010178234, 8480010158847, 8480010133462, 8480010035018, 8480010090895, 8480010002935, 8480010139693, 8480010179514, 8480010112177, 8480010030532, 8480010106299, 8480010192001, 8480010172409, 2616836004891, 8480010148176, 8480010254389, 8480010280777]",2844,1
lindt,Lindt,"[3046999007085, 4000539226502, 5012454067282, 0037466055596, 3046920025935, 01237191, 7610400085458, 7610400088916, 3046920047883, 7610400087063, 9003600481447, 0037466028620, 7610400089791, 4000539121906, 7610400090957, 0009542043971, 0743434000665, 4000539203527, 7610400089920, 3046920590952]",2825,1
edeka,Edeka,"[4311501611180, 4311501444498, 4314187034731, 4311596470280, 4311501358481, 4311501358641, 4311527941872, 4311527717569, 4311501621677, 85001855, 4311501650332, 4311527576524, 4311501651322, 4311501607282, 4311501495667, 4311501615430, 4311532004555, 4311501611500, 4314131015212, 29091690]",2814,1
maggi,Maggi,"[7613036028509, 7613035185876, 7042115003456, 8901058851335, 7610100010750, 4005500319177, 9101214310105, 7613036072403, 7613036072021, 00565303, 04918653, 8025852001519, 0041470002835, 7410146428935, 42370611, 7613031400355, 7613037067538, 9556001211057, 7613035448759, 7613037067729]",2805,1
prozis,Prozis,"[5600499503157, 5600499505205, 5600826200582, 5600499510506, 5600499513002, 5600380893244, 5600380896771, 5600499501160, 5600380893510, 5600854627009, 5600380895859, 5600499520338, 5600380894302, 5600499533673, 5600380897723, 5600380893657, 5600380893787, 5600499561737, 5600499554258, 5600499552025]",2774,1
milbona,Milbona,"[20851972, 20624644, 40897462, 4056489013082, 13336301, 20157517, 20501723, 20166335, 4056489021834, 20152406, 04651550, 20081195, 4056489028468, 4056489018384, 20798932, 20897970, 20227562, 20247959, 20277703, 4056489028475]",2762,1
heinz,Heinz,"[0608875008161, 0608875008178, 9300657021443, 3660603080716, 0057000025168, 5900783007904, 5000157075864, 0400001902707, 50457045, 5000157078810, 0057000086114, 8715700116549, 5000157140630, 7896102503852, 8715700110141, 50457786, 5000157142795, 8715700111735, 5000157076649, 8410066141715]",2717,1
coles,Coles,"[9310645231709, 9300601313495, 9300601260829, 9300601018925, 9310645171821, 2227893389014, 9310645352831, 9310645215426, 9310645230443, 9300601318117, 9310645331997, 9310645183435, 9310645329994, 9310645333649, 9310645332062, 9321325000072, 9300601287062, 9310645323442, 9300601184149, 46553263]",2713,1
thiriet,Thiriet,"[3292590701239, 3292590818425, 3292590839147, 3292590499464, 3292590895358, 3292590861995, 3292590834210, 3292590895365, 3292590606565, 3292590705169, 3292590834135, 3292590182250, 3292590831882, 3292590851590, 3292590818517, 3292590829353, 3292590701086, 3292590801922, 3292590833244, 3292590516277]",2672,1
wawa,Wawa,"[0726191300407, 0726191023573, 0726191022460, 0726191254687, 0726191002837, 0726191300070, 1537342911006565, 61758427475380833878, 19351920409339320959, 5337736411803223323, 92387983064679820651, 453548964543575, 5004452482216902065, 38518138040583618180793593, 6773896346382917055018, 3449239298439456083790, 9720172468350973042, 772691349285975834, 37499043753002901047, 8088834476754426729314]",2614,1
conad,Conad,"[8003170059443, 80129318, 80037491, 8003170005143, 80129165, 80038474, 5413508014212, 8003170052116, 8003170089365, 8003170072268, 80459026, 8003170006287, 8003170054394, 8003170093911, 8003170021433, 8003170094017, 8003170048508, 2000000063594, 2184000004362, 8003170012479]",2591,1
kellogg-s,Kellogg's,"[5050083706752, 5053827185806, 5053827163347, 5053827203937, 15010087, 5053827190633, 5053827204620, 0064100124196, 7896004002132, 5053827110198, 5053827211260, 5053827202435, 0038000199042, 7501008010006, 5053827191142, 5053827215978, 7501008023143, 5053827215541, 5053827164382, 7501008023136]",2550,1
mercadona,mercadona,"[2304376003800, 2325258002926, 8426435940124, 2302791006550, 2304571002523, 2325353002647, 2325258003282, 2302797006233, 2303682004839, 233041740000100525005253, 2302833003455, 2302837003260, 2303400003922, 2301879003658, 2302844003246, 2303400004066, 2325926004214, 2302833003615, 2303682005164, 2302788002114]",2487,1
kirkland,Kirkland,"[2685093004999, 0096619434466, 0096619409570, 0096619215683, 0096619704637, 4607261000006, 0096619553402, 0096619244676, 0241217019373, 0248010214967, 0247729921784, 0211521509761, 0610232045177, 0247500918927, 0247735019703, 0096619090082, 0096619263424, 2386463006994, 0096619099979, 0096619132096]",2440,1
k-classic,K-Classic,"[4300175165624, 4337185081071, 4337185454448, 4300175150729, 4337185441356, 4337185149498, 4300175658294, 4337185029257, 4337185219276, 4337185223655, 4337185559907, 4300175996358, 4337185311352, 4337185140372, 4335896680293, 4337185143465, 4337185725968, 4337185449581, 4337185302329, 4049728000318]",2360,1
la-vie-claire,La Vie Claire,"[3266191021812, 3266191011288, 3266191107684, 3266191107899, 2121740012929, 3266191025292, 3266191013640, 3266191021911, 3266191051741, 3266191012988, 3266191104621, 3266191151298, 3266191151380, 2121740013896, 3266191012797, 3260191032472, 3266191000053, 3266191040042, 3266191060576, 3266191060798]",2324,1
franprix,Franprix,"[3263851484215, 3263858371815, 3263858070411, 3263851864710, 3263856742914, 3263851485212, 3263851860217, 3263850594311, 3263851861313, 3263851865014, 3263852661219, 3263858057122, 3263855402512, 3263851168214, 3263855402314, 3263850667398, 0326359763213, 3263858076512, 3263858076819, 3616096416211]",2166,1
e-leclerc,E.Leclerc,"[0203029012799, 0202029036088, 0221707019021, 0204259017059, 1900000010322, 0206567010500, 3461180356191, 0200571021064, 0206440014564, 0250011005253, 3000000006467, 0271324040014, 0208387016403, 0209130013649, 0202108094466, 0205026016923, 0268367020011, 0250562006563, 0204387038704, 0203072009180]",2142,1
starbucks,Starbucks,"[01217702, 0069000040287, 3700365095686, 0069000148969, 5711953095504, 5711953077890, 0762111329356, 0762111126832, 0069000155035, 0762111054968, 0762111440778, 5614187598967, 0762111206251, 0762111345370, 0762111014498, 0762111337849, 0762111372321, 5711953148392, 5711953145506, 1460571655036000389]",2138,1
netto,Netto,"[3250392602017, 3250392606626, 3250390965268, 3250392618506, 3250390876557, 3250392794736, 5299367374298, 4007601182049, 4316268685788, 42396086, 3250393435898, 3700524789005, 3250392702717, 00007180, 3250391682652, 64466804, 3250390479796, 3250392078737, 4316268100342, 2846123025258]",2127,1
lipton,Lipton,"[8714100761120, 5900300587056, 8712566226160, 4605922006695, 8714100333846, 76119019, 8712100345210, 8711200372782, 6221155047458, 8711200450787, 8714100870242, 3168930159896, 6281006710009, 8722700199045, 6001240228838, 59082422, 7610007219737, 8711327407121, 0041000007781, 6281006805897]",2123,1
bonduelle,Bonduelle,"[3083681035766, 3083681030891, 3083681031171, 3083681096828, 3083681092615, 3083680105835, 3083681099607, 3083680975346, 3083681100426, 3083681104325, 3083681102505, 3083681031959, 990530101000743695, 08115379, 3083681021509, 0084000605878, 3083681130966, 3083681150957, 0084057539300, 3083681157789]",2116,1
cadbury,Cadbury,"[7622210764584, 8901233025612, 5000221508076, 9300617411123, 7622210489784, 7622210449139, 7622210589255, 7622210954695, 5000221604600, 7622210959874, 7622201108403, 0061200222340, 0061200226829, 7622201498672, 9300617054573, 9400550601824, 9300617071792, 07317101, 7622201781187, 9300617292791]",2068,1
selex,Selex,"[8003100869364, 8003100848277, 8003100867322, 8003100905871, 8000965310710, 8003100969989, 8003100001320, 9005400925664, 8000965410489, 8000965410472, 8003100001825, 8003100000613, 8003100000309, 8003100882219, 8003100838520, 8003100829511, 8003100006929, 8003100007902, 8003100921031, 8003100891631]",2023,1
el-corte-ingles,El Corte Inglés,"[8433329083706, 8433329023313, 8433329074032, 8433329059428, 8433329095211, 8433329095082, 8433329061766, 8433329090155, 2675894001495, 8433329015301, 8433329090476, 8433329011167, 8433329009096, 8433329037198, 8433329097888, 8433329081702, 8433329079891, 8433329081573, 8433329020626, 8433329084925]",1979,1
eurospin,Eurospin,"[8017596054241, 8017596069863, 8017596010186, 8017596102256, 8017596062208, 8017596121080, 7017590003086, 8017596120410, 8017596123756, 8017596113580, 8017596125170, 8017596058850, 8017596044075, 8017596031358, 8017596079527, 8017596005267, 8017596102140, 8017596109811, 8017596040503, 8017596071323]",1921,1
sainsbury-s,Sainsbury's,"[00185370, 00191791, 01889222, 00182492, 01822946, 00239547, 00328555, 01305654, 00151566, 00304719, 01845068, 00244978, 01801408, 01810318, 01065718, 00255868, 00155397, 01673715, 00162142, 01213560]",1857,1
yoplait,Yoplait,"[7501040094460, 3329930060609, 3329770051034, 0070470118550, 3760091301529, 0070470003078, 3348261204032, 0070470003191, 3291330004272, 3297560131146, 7501040095177, 3329770063938, 3297560129815, 3291330007648, 3329770014657, 3329770056688, 3297560176994, 3329770132764, 3329770082250, 3291330000458]",1852,1
coca-cola,Coca-Cola,"[0049000064186, 4902102123181, 53956439, 7501055311453, 0049000049541, 9300675086356, 24063975, 8888002119454, 7501055302925, 9782371021976, 8888002087470, 7790895000782, 5449000261397, 5000112640175, 0067000010958, 0049000072358, 8901764052903, 0067000011009, 0049000014631, 7501055349555]",1842,1
shoprite,Shoprite,"[0041190465521, 0041190066667, 2909239006402, 0041190072545, 0041190469413, 0041190065318, 0041190056712, 0041190067459, 0041190470044, 0041190057290, 0041190407569, 0041190067626, 0041190410866, 0041190076352, 0041190058839, 0041190464531, 0041190409778, 0041190057252, 0041190072491, 0041190469000]",1831,1
jersey-mike-s-subs,Jersey Mike's Subs,"[35438914899042465848476, 22566047797129774869, 3013443045292339333626, 43547954788547222699, 96377135446853753035272, 8419299646287192058, 92040867342999434838389, 41799714946676, 6134619144148986388096908, 233570074893802102843379, 37269257729498284716167, 9103417614094505565196065, 55697294690128612657, 236255964847856637915, 474993467696031193, 9794917401491888027943, 312241894869964734800, 263705945948295608875, 16285215476137497604274, 749584498729160947864]",1828,1
sheetz,Sheetz,"[0759465006200, 0759465007573, 0759465005166, 218541196776607504, 90184044826418516984, 869237629242910626113662, 579530400677042, 152584641484109251356170, 7215887420926200858, 71950846549679795381, 785760347923071553305, 87272040884431282, 42733355448280180374151, 648944013445691270519, 82312926461809620158, 3962043749399994689093, 590932428052568985013, 465056249212121790210, 20621438433311340, 4461874915273414]",1826,1
charal,Charal,"[2444975047567, 2494593026246, 0292451080681, 0292451076424, 0292472036933, 0292475058253, 0292472036605, 0292472033321, 0292452033266, 0292475043822, 2444975044740, 0292475056082, 0292473048348, 0292475048216, 0292472034700, 2494558044285, 0292471021060, 2494558033913, 2494593036801, 2494593029711]",1815,1
belle-france,Belle France,"[3258561470276, 3258561050034, 3258561050263, 3258561202020, 3258561345635, 3258561021119, 3258561220680, 3258561310145, 3258561239781, 3258561239675, 3258561021430, 3258561022086, 3258561239651, 3258561430836, 3258561413105, 3258561160290, 3258561109411, 3258561044606, 0241396039490, 2225658019152]",1804,1
papa-john-s,Papa John's,"[0782796021550, 76907554452971903822, 4036064710868643822669, 173826410129027579, 827887420683768126618, 11173160441865317030, 27059784110497267192143, 815480032438961342965, 841194445096255545630, 9029236024482996124353, 2294959611484873403132, 298028444098092391, 387873434086013127787, 95064148992310862, 642245307545558111843197, 60566498887061, 4770340468066769269, 5130684314095085737, 472793396846808117752930, 71323627437882266]",1804,1
