brands_tag,brands,sample_codes,count,row_number
mentos,Mentos,"[8425497112692, 80857488, 69999666, 87333411, 80772743, 9831867482651, 8723400763086, 80969945, 8713600285266, 6921211104353, 0073390000516, 80853664, 87354294, 0073390010393, 80776628, 11119081, 8710800985309, 8723400773832, 87353860, 80776260]",910,1
dico,Dico,"[8033753091195, 8033753007783, 8033753049516, 8033753030729, 8033753072965, 8033753108176, 8033753024469, 8033753093465, 8033753099702, 8033753069538, 8033753030026, 8033753020058, 8033753024582, 8033753025268, 8033753015122, 8033753077052, 8033753077410, 8033753023486, 8033753089109, 8033753096893]",910,1
haagen-dazs,Häagen-Dazs,"[3415587401220, 3415581707878, 3415581312157, 3415581312713, 3415581376715, 3415581152937, 3415581545814, 3415580501019, 7563633939343, 3415581154368, 0074570674596, 3415587188718, 3415587188930, 3415581370768, 3415587404191, 12137600, 3415587363719, 3415587171710, 08266848, 08266919]",910,1
ard-discount,ARD Discount,"[8054956156054, 8059513010060, 8054956159437, 8059513020922, 8058669800648, 8058669191760, 8050054703138, 8058669197724, 8054956157532, 8054956150489, 8058669191968, 8059513020038, 8054956150427, 8054956157556, 8059513021851, 8058669195447, 8058669193023, 8058669191296, 8059513021813, 8058669194426]",908,1
alnatura-gmbh,"Alnatura, Alnatura GmbH","[4104420132320, 4104420202962, 4104420035942, 4104420138926, 4104420045286, 4104420212435, 4104420145160, 4104420186903, 4104420213630, 4104420206274, 4104420217997, 4104420221796, 4104420036789, 4104420204041, 4104420187054, 4104420219366, 4104420234598, 4104420236974, 4104420246270, 4104420241374]",907,1
pirkka,Pirkka,"[6410405049834, 6410405190956, 6410405136879, 6410405092274, 6410405257888, 6410405124517, 6410405258380, 6410405318251, 6410405242600, 6410405301826, 6410405197825, 6410405317728, 6410405057327, 6410405117892, 6410405073020, 6410405191311, 6410400048559, 6410405069054, 6410400035993, 6410405081261]",905,1
selection,Selection,"[0059749943499, 0059749876117, 0059749897488, 0059749902038, 0059749897822, 0059749981019, 4337256655118, 0059749970891, 0059749893480, 0059749936422, 2007397929981, 0059749978552, 0059749965354, 0059749893053, 0059749962506, 0059749936460, 0059749897853, 0059749899277, 0059749887021, 0059749887656]",900,1
toupargel,Toupargel,"[3265980786086, 5412588423341, 3282740372006, 3331480001674, 3528161506065, 3760160707023, 3760197633517, 3184034281127, 3199660004484, 17838382, 2000000049534, 3328858112001, 8712708692631, 0002084329738, 3276723958158, 3760121990709, 3434410072406, 3428420052923, 3512660060784, 8435130116741]",898,1
delpeyrat,Delpeyrat,"[2498446077607, 3067163623955, 3067163637341, 3067163621159, 2672687030045, 2672680095119, 2007341039797, 3067163637433, 4056489138297, 2672680088692, 3067163654331, 3067163661605, 3067163657301, 3067163662114, 3067163662947, 3067163662961, 3067163663005, 3067163623788, 3067163635316, 3067162286267]",897,1
intermarche,Intermarché,"[0200021005583, 3250392052416, 3250392357757, 3250791258099, 0290112026962, 2600480010049, 3760232051467, 7779137979581, 2890894040019, 0207524029399, 0211185020602, 0209260013786, 3250392937485, 0211368043428, 3250393437144, 0260926006566, 0209083016148, 0209083017589, 0211581018630, 0260034013050]",888,1
garant,Garant,"[7340083406737, 7311041064375, 7311041058022, 7340083455858, 7340083469015, 7340083426520, 7340045504167, 7340083449369, 7340083460036, 7340083443275, 7311041065006, 7340083490507, 7311043004423, 7340083444722, 2359773207627, 7340045502057, 7340083476594, 01012786, 7311043002511, 7340083491702]",879,1
doritos,Doritos,"[0028400112277, 8710398158130, 4062139004355, 8710398523617, 7501011155022, 7500478033614, 8291930009269, 0028400737937, 5900249027040, 5941000030695, 0098400767470, 0060410054406, 0028400599641, 9310015250149, 0028400699105, 0028400436687, 0028400015547, 57690896, 17633611, 5000328016276]",876,1
ducros,Ducros,"[3166291481502, 3275925153002, 3166291518604, 3166298905957, 8410219856282, 3166291510509, 3166296209293, 3166296210619, 3166296203321, 3166296203147, 3166298125300, 3166296555130, 06219121, 3166296600298, 3275923000117, 3166298906909, 3166291500708, 3275920127671, 3166291134705, 3166296212408]",873,1
kania,Kania,"[4056489021773, 20808778, 20219345, 4056489477754, 32344455, 4056489416609, 20721336, 4056489701996, 4056489707714, 4056489128021, 10364918, 20000301, 20000417, 20059545, 20204730, 20204761, 20226558, 20239237, 20353384, 20366018]",863,1
palais-des-thes,Palais des Thés,"[2700978001174, 2700916001150, 2700980002671, 3700256704314, 3700256726972, 2703001001202, 2700809001106, 2700723001206, 2700839001039, 3700256703768, 2700856001296, 2700551000549, 2700773001072, 2700215001219, 2700306001012, 2700995001003, 3700256704802, 3700256760884, 3700256758294, 3700256731723]",848,1
president-s-choice,President's Choice,"[0060383153908, 0060383180300, 0060383195892, 0060383146702, 0060383204921, 0060383011840, 0060383007775, 0060383204358, 0060383002879, 0060383219017, 0060383020064, 0060383041168, 0060383024659, 0060383222727, 13164591, 0060383050948, 0060383987862, 0060383020200, 0060383206321, 0060383210526]",846,1
herta,Herta,"[7613036704885, 7613036724234, 7613036855662, 7613036302593, 3154230801313, 0343030033083, 0643435989443, 4000582309696, 3154230805083, 3154230600572, 3154230600602, 86325394, 4000582370498, 3154230800156, 3154230800361, 3154230800996, 3154230800279, 3154230801146, 4000582189991, 7613035928954]",844,1
giant,Giant,"[0688267565823, 0241760000002, 0610232012285, 0688267000782, 0688267007026, 0688267007064, 0688267007200, 0688267007248, 0688267010071, 0688267023637, 0688267023668, 0688267023675, 0688267026706, 0688267026904, 0688267033728, 0688267039270, 0688267039287, 0688267052866, 0688267054389, 0688267059025]",841,1
hero,Hero,"[8713500011651, 7614200115278, 8410175066442, 7614200114400, 76142239, 7614200116664, 8410175069900, 8410175072276, 8713500011149, 8410175072184, 7614200128131, 8410175079596, 7614200099028, 8410175078834, 7614200127554, 8410175084712, 8713500013143, 7614200128025, 04386957, 0804066020039]",840,1
schnucks,Schnucks,"[0041318095685, 0041318193220, 0041318241990, 0041318182538, 0004131830026, 0041348302739, 0041318531367, 0041318224863, 0041318252118, 0041318581690, 0041318098297, 0041318531398, 0041318192100, 0041318530063, 0041318021899, 0204614113303, 0013499900379, 0041318010206, 0041318010312, 0041318010480]",840,1
jeden-tag,Jeden Tag,"[4306188375548, 4306188361817, 4306188414964, 4306188360377, 4306188018780, 4306188392118, 4306188053644, 4306188033752, 4306478347910, 4306188403791, 4306188034612, 4306188432043, 4306188032762, 4306187444283, 4306188428374, 4306188424390, 4306188286554, 4306188820413, 4306188433460, 4306188354437]",836,1
simply-nature,Simply Nature,"[4099100033595, 4099100161960, 4099100180596, 4099100035025, 4099100026559, 4099100191097, 4061464096868, 4061459790832, 0860009652125, 4099100013153, 4099100223804, 4099100008029, 4099100065008, 4099100315691, 1061100022896, 4099100172850, 4099100218947, 4099100317213, 63521832, 0099100036237]",835,1
kirkland-signature,Kirkland Signature,"[0096619385782, 0096619887422, 0096619387342, 0096619215607, 0096619297535, 0096619000081, 0096619367542, 0096619050611, 0096619064069, 0096619081554, 0096619107681, 0096619107698, 0096619203406, 0096619321841, 0096619331130, 0096619462674, 0096619510375, 0096619531493, 0096619560271, 0096619588152]",835,1
grand-frais,Grand frais,"[2600692031160, 2609927051621, 2481240031555, 2868733027811, 0044284735159, 2416940087571, 3272350004077, 2870396055896, 2868039011941, 2868365021324, 2868730024400, 2868976031163, 2600129022242, 0701881400148, 2609842019744, 2600298010309, 2868516030762, 2488810043161, 8710616010875, 2600697037198]",832,1
fuchs,Fuchs,"[10140000, 4027900567743, 4027900541262, 4027900566029, 4027900566265, 4027900567682, 7613269450771, 4027900592172, 4027900567019, 4068300565205, 4027900567484, 4027900031954, 4027900245054, 4027900289058, 4027900861049, 4027900243951, 4027900246747, 4027900566500, 8009361004230, 4027900567422]",831,1
rema-1000,Rema 1000,"[7032069724620, 5705830606761, 5705830009791, 7032069719381, 7032069727362, 5705830611604, 5705830612984, 5705830610577, 7032069731277, 5705830611291, 5705830008916, 5705830002075, 5705830011749, 5705830070401, 7032069735282, 5705830500168, 7032069739198, 5705830609304, 5707196322101, 5705830612144]",827,1
fazer,Fazer,"[6411402117700, 6416453054820, 6411401034503, 6416453037939, 6416453037403, 6416453072374, 6411401037238, 0444512110206, 6416453555105, 6413467413001, 6416453075115, 6416453009202, 6416453061637, 6413467407918, 5766632527623, 6413467443312, 6416453034570, 0001002049527, 6416453076716, 4740103130490]",826,1
colruyt,Colruyt,"[5400141392005, 5400141072099, 5400141391961, 5400141067958, 5400141323191, 5400141391374, 5400141094282, 5400141239812, 2415506004656, 5400141208269, 5400141392098, 5400141168389, 5400210007496, 5400141174106, 96213885601195003766, 5400210188072, 5400141071719, 5400141186161, 5400210021003, 0201530025918]",821,1
tgi-friday-s,TGI Friday's,"[8656293145746933487492974999, 38053042303794129, 256950214214085726, 24072467844369924162, 606914893278841543945, 836112628414779430332463900, 438007454456294280, 9152934463980715928496, 449394080525443558489, 1061813864899304270, 90665749798225780, 5652214173336512951, 36161547366478047, 7297087247669639573, 2213814342036289, 32403147029072019, 9963306955486894622652122, 9856144671040062, 2014643000744737, 994975745536798505]",812,1
winco-foods,Winco Foods,"[0070552704206, 0070552800618, 0070552001510, 0070552607132, 0070552803091, 0070552701472, 0070552700239, 0070552607095, 0070552504080, 0070552602212, 0070552400245, 0070552200173, 0070552502444, 0070552406254, 0070552602366, 0070552701519, 0070552006034, 0070552701007, 0070552502055, 0070552400177]",810,1
walmart,Walmart,"[0627735257594, 0078742330976, 0681131430043, 0681131180665, 0226067908558, 0200989201287, 0194346097067, 0194346061303, 07870620, 0681131350051, 0007844201238, 0263440111495, 0499007986484, 0078742001975, 0078742352169, 00151870, 0078742087030, 07217487, 0078742199511, 12747375]",807,1
nescafe,Nescafé,"[7613036600996, 7613033667640, 7613035078321, 3149330008809, 8711000409053, 7802950002720, 7613037209587, 7613036999526, 7501058617705, 7501058642639, 7613039491416, 8171718213142, 4891118025018, 7506475111003, 9300605152502, 8901058007169, 7613039908518, 5000243800653, 0806891084309, 9556001185679]",803,1
sondey,Sondey,"[20300821, 20192969, 20434038, 20238834, 4056489041153, 20294434, 20798499, 20462307, 70739787, 4056489512134, 0220330686365, 4056489025665, 4056489853855, 4056489793397, 20005504, 20026578, 20103064, 20123031, 20143824, 20176686]",801,1
marketside,Marketside,"[0681131278270, 0681131093019, 0681131070959, 0681131282598, 0681131433679, 17745765, 0681131315715, 0681131348676, 0681131286749, 0194346096657, 0681131054188, 0681131060752, 0681131062855, 0681131067232, 0681131067607, 0681131067621, 0681131070270, 0681131074414, 0681131074421, 0681131078627]",800,1
bjorg,Bjorg,"[3429820795250, 3229820651064, 3229820797656, 3229820798141, 3229820729633, 3229820799131, 3229820798875, 3229820802602, 3229820802480, 3229820802367, 3229820118888, 3229820798639, 3229820101026, 3229820804224, 3229820804439, 3229820801636, 3229820801650, 3229820801483, 3229890794647, 3229820798769]",794,1
ica,ICA,"[7318690100553, 7318690100546, 7318690145998, 7318690055709, 7318690083184, 7318690081883, 4318023446115, 7318690104360, 7318690020264, 7318690501909, 7318690165514, 7318690185727, 7318690497677, 7318690494874, 00300328, 2319271007594, 7318690488552, 7318690155317, 7318690071716, 0318994036050]",789,1
null,null,"[0055577420928, 26080567, 7611597000514, 27047620, 7640147861176, 8718907227476, 3254568046070, 5000201001085, 8032668580022, 0059620269328, 6708002747988, 8033520007510, 0060383736804, 0071430000373, 8719200072497, 0065633417342, 5900020031723, 8411104004610, 0055742564716, 4056489028925]",788,1
milsani,Milsani,"[24003599, 27065129, 24068871, 4061458025690, 4061459537284, 4065019096570, 4065019005527, 6670146646086, 0111344260200, 0445013142130, 12210887, 19512266, 23030299, 23064683, 24054294, 4061458216098, 4068428011646, 4065019021480, 24068055, 24009102]",787,1
simple-truth,Simple Truth,"[0011110100030, 92000111100515700189, 0011110605085, 0011110827708, 0011110119476, 0011110123206, 0011110130105, 0011110104465, 79715935, 0011110059727, 0011110102515, 0011110027481, 6001224713916, 0011110107732, 0240581505758, 0011110126764, 6001224474664, 0041260023620, 6001224522549, 92006869243968700359]",784,1
bell,Bell,"[7610162094668, 2157655006753, 2177425006806, 7610162094651, 2996832001422, 2113479005853, 3298081501517, 3333687104493, 2162405005658, 2135402002708, 0640569302261, 2114746011058, 2114674007505, 2114998006208, 2110193004858, 2110581005955, 7610162343117, 7610162323423, 4034167793365, 09990791]",783,1
unil-as,Unil as,"[7035620096600, 7311041013519, 7035620038594, 7035620048784, 7035620045387, 7035620008283, 7035620006753, 7311041029268, 7311041037652, 7311041035764, 7035620038617, 7311040062600, 7035620018930, 7311041005026, 7035620081408, 7035620019067, 7035620048661, 7035620022692, 7035620031724, 7035620008610]",782,1
le-comptoir-de-mathilde,Le Comptoir de Mathilde,"[3760170095721, 3760170098883, 3700961300238, 3700961300542, 3700961305332, 3700961300498, 3700961306353, 3700961300078, 3700961305394, 3700961306629, 3700961306728, 3700961303536, 3700961306155, 3700961301754, 3700961300276, 3760170095882, 3700961308593, 3700961309330, 3700961304854, 3700961318912]",779,1
member-s-mark,Member's Mark,"[0078742244464, 0078742109688, 0193968077570, 0193968060145, 19391946, 0193968073435, 0193968344481, 0193968053567, 0193968048532, 0193968064655, 0193968320720, 0078742048086, 0193968155223, 0078742084602, 0193968159061, 0193968178734, 0193968369385, 0211031016629, 0078742046389, 0078742257006]",778,1
quiznos,Quiznos,"[2652094409903118498467, 69994199645485935549, 659554884976745410, 61703824279057624, 77485039041196517705021, 646822524118961567582, 10442987503181336339, 75304864569018444752811, 4503919134678880550228336, 53151429840101672, 348269739341308063, 45810983254818074868669, 12176088437933431076, 85804005337460887, 954211952245857252996865, 4696930906342380678164949, 1551764958688440, 527634980881009, 491160487737914277, 3888099743280665865717]",777,1
tipiak,Tipiak,"[3450350030702, 3450350036544, 83597565, 3165440215104, 54014053, 3282740223810, 3282740301006, 3282740370279, 3282740598956, 0045035092972, 3450350093134, 0401014800769, 0320009949927, 3600900022392, 17733878, 00989558, 00182024, 3600900021135, 3165440007785, 0606660001250]",777,1
alpro,Alpro,"[5411188111856, 3825825797587, 7415788119098, 63250732, 5411188125020, 5411188117094, 5411188136613, 53130853, 5411188135975, 5411188136880, 5411188136842, 18839732, 5411188139928, 5411188120919, 5411188133650, 5411188134459, 5411188126003, 33664552, 5411188140863, 10541118812581515220909]",777,1
dulano,Dulano,"[2828025001844, 20012373, 2828025002681, 20030179, 4014327932117, 4056489115441, 4056489022497, 2828029002830, 4056489616085, 8100724460394, 4056489827733, 4056489885825, 20012748, 20012939, 20031800, 20033897, 20087487, 20090746, 20140359, 20155476]",776,1
red-robin,Red Robin,"[4132499313547837, 1646843889229135, 96290385324377022879, 1898531843922935559280, 380345261874936, 781264269184450232, 953054815961214624882, 29286133548901910726673, 0543523562490, 464269442778482163, 570124469830689147, 32208741681855600728, 798407117433976495626, 68283214443089666805734, 740434132481974405750, 1034360257405929, 79175630542093711638145, 1387647161827950061, 69551327748199506975447576, 35967853242429917692655]",773,1
italy-d,Italy-D,"[8051763016038, 8051763013143, 8051763016922, 8051763021957, 8051763001966, 8051763016861, 8051763008262, 8051763009351, 8051763002666, 8051763000631, 8051763001621, 8051763015093, 8051763016755, 8051763015239, 8051763010012, 8051763007883, 8051763009818, 8051763009160, 8051763013648, 8051763017929]",766,1
m-classic,M Classic,"[8900200024016, 2114318003559, 7613269192046, 7613269197669, 76176869, 7613404122600, 7613312245767, 7613312240441, 7613312261781, 7613312358641, 9774735030014, 2114414003804, 7613312371497, 7613312412503, 0623069379919, 7613312429785, 2184987007653, 22016201, 22089519, 4613452261675]",763,1
best-choice,Best Choice,"[0070038361008, 0070038302773, 0070038592143, 0070038632511, 0070038331582, 0070038625513, 0070038619864, 0070038655725, 0070038325482, 0070038610106, 0070038601838, 0070038646075, 0070038599692, 0070038350163, 0070038629481, 0070038661047, 0070038657569, 0070038609735, 6937263401166, 0070038599937]",763,1
bimbo,Bimbo,"[8412600024355, 7401006712127, 83772061, 8412600029367, 6111260960615, 7793890253276, 6844135000030, 7500810015803, 7500810015810, 7500810022061, 7705326076038, 8437016451526, 7591167001045, 13367139, 0074323091410, 65434185, 7441029521221, 7793890259087, 5601027943551, 7501000112845]",758,1
good-gather,Good & Gather,"[0085239041154, 0085239209561, 0085239357958, 0085239359891, 0085264445309, 0085239970331, 0085239340448, 0085239113325, 0085239058428, 0085239266908, 0085239307298, 0085239927670, 0211500511860, 0085239931349, 0085239978986, 0085239513477, 0196761508203, 0085239983072, 0085239056929, 0085239358481]",755,1
hershey-s,Hershey's,"[0034000343270, 0637913913693, 03415502, 90440052, 0068000714624, 0034000312450, 0034000122899, 0034000190645, 0024682313418, 0034000183654, 0034000228676, 0034000195428, 0034000215676, 06547394, 03406106, 7501024578955, 0034000560462, 0034000830411, 0034000134809, 0034000245659]",754,1
bulk,Bulk,"[5060343746541, 5060343744295, 5055950616998, 0031952626598, 0280325936028, 0055954616074, 19726960, 5055950623446, 5055950623453, 4098597264383, 9965932616143, 5055950612525, 5055950604872, 0015454617216, 00116756, 00128550, 00135101, 00170461, 00172206, 00173182]",753,1
mccain,McCain,"[8710438105377, 8710438114539, 8710438115505, 5010228002873, 8710438104936, 8710438116779, 8710438112399, 8710438112573, 0055773004823, 9310174090679, 8710438122589, 5010228005171, 5010228004907, 6009650908258, 8710438119343, 8710438119541, 7610078243808, 5010228003542, 5010228006048, 50175602]",751,1
innocent,Innocent,"[5038862338103, 5038862653350, 5038862233934, 5038862107501, 5038862130004, 9938809161503, 5038862131131, 5038862233729, 5038862238632, 5038862131094, 5038862137454, 5038862133739, 5038862238502, 5038862234641, 5038862237840, 5038862137430, 5038862132800, 5038862000352, 07423215, 5038862002721]",751,1
monin,Monin,"[3052911157776, 3052911182587, 3052911343124, 3052910034399, 3388690001239, 3052910041168, 3052911157769, 4008077744564, 3052911426766, 4008077741037, 3052910034443, 3052911145896, 0738337056789, 0738337056567, 4008077744496, 0738337886706, 0738337006609, 0738337882524, 3388690000027, 3052911633041]",748,1
gallo,Gallo,"[8001420003376, 8001420009569, 5601252109500, 8410069016621, 8001420003048, 8410069001252, 8410069005267, 7790070411914, 8410069010445, 8410069016867, 8410069017468, 8410069012586, 8410069000842, 6000500073171, 8001420011272, 76088681, 8410069018724, 1028028008425, 8410069019059, 8410069019028]",744,1
general-mills,General Mills,"[0016000506435, 0016000492349, 0016000123151, 0016000144682, 0065633099289, 0016000362468, 8410076842992, 0065633458116, 0016000297616, 0016000170117, 0016000189126, 17177823, 0016000189294, 0001600122536, 0001600010371, 00168322, 0000848454849, 0016000125421, 8410076620286, 0016000506954]",740,1
simple-truth-organic,Simple Truth Organic,"[0011110853257, 0041260008276, 0011110069030, 0011110603012, 0011110098863, 0011110092069, 0011110842695, 0011110082695, 0011110890993, 0011110038005, 0041260330810, 0011110108760, 0011110059956, 0011110828859, 0011110104311, 0011110609014, 0011110035844, 0011110833297, 0011110092168, 0011110835826]",737,1
specially-selected,Specially Selected,"[4088600116303, 0041498156015, 4088600041506, 4088600004150, 4088600490243, 4088600486208, 4088600312620, 4099100180046, 4088600050829, 4088600477725, 4061459682069, 4061464867673, 4061462289446, 4061461568061, 4088600169859, 4088600048703, 4099100263404, 4088600334622, 4088600367699, 4088700009468]",737,1
mccormick,Mccormick,"[06638920, 7610071472502, 9300683042245, 7501003306319, 7501003306234, 05264618, 0052100300726, 0052100030234, 05263176, 05263716, 05264210, 05264317, 05272219, 7610071221827, 0066200006051, 0066200019860, 0021500040501, 03285886, 51004484, 7610071221452]",735,1
emmi,Emmi,"[7610900012237, 7610900141050, 7610900008476, 7610900101733, 7610900046645, 7610900128150, 7610900142750, 7613100006600, 7610900217731, 7610900062904, 7610900280698, 7670000218731, 7610900201228, 0073015103219, 7610900256594, 7610900259922, 7610900018550, 7610900228539, 01293467, 01301994]",733,1
bio-village,Bio Village,"[2860182012790, 2860350019354, 2860294054121, 0563468117357, 2860294064557, 2860294047758, 0210201005517, 3564707140775, 3564707158886, 3564707150095, 3564707126601, 990530101078127001, 3564707167338, 356470712443001, 05955961, 0209995004530, 0222164014437, 3564707178594, 2218405004792, 3564707169677]",732,1
betty-bossi,Betty Bossi,"[7613331676689, 7611654921479, 7610848667155, 7610848315339, 7613331867667, 277610849567720500000195, 7613331703392, 0581704006951, 35655695, 4610018647638, 7627534868208, 7627535014369, 7627535782800, 7627536289186, 7627534985493, 7624841929530, 7627535023613, 7610845927870, 7610849626687, 7613413125807]",731,1
alesto,Alesto,"[20947286, 08032188, 20114480, 20977733, 4056489344407, 37815400, 0112093565837, 0034276033042, 4056489147022, 4056489850991, 20058773, 20353049, 20412074, 20478216, 20559564, 20559625, 20715717, 20764005, 20767976, 20772970]",729,1
saint-alby,Saint Alby,"[2205870001616, 2205872003502, 2205877003279, 2205874003562, 2205871003459, 20105846, 2205882002588, 2205883001894, 14399349, 2205882002656, 2205888003442, 4056489133469, 2205888003008, 2205883002877, 2205887002125, 2205885003148, 2205884003170, 4056489513292, 2205872005049, 20021153]",728,1
coviran,Coviran,"[8422823572014, 8422823200504, 8422823070459, 8422823231027, 8422823141029, 8422823230853, 8422823280162, 8422823060771, 8422823210244, 8422823120468, 8422823230938, 8422823290154, 8422823210084, 8422823230198, 8422823121236, 8422823390304, 8422823431007, 8422823230983, 8422823031504, 8422823280186]",728,1
st-michel,St Michel,"[3178530415049, 3178530416688, 13497385, 5785408408539, 3178530421170, 6118540404241, 2133998407327, 01035820, 07707025, 3023470266650, 3178530418507, 3178530650112, 3178530417418, 55637923, 04921769, 1023076001084, 3178530423808, 3178530414875, 3178530416183, 3178530416619]",727,1
hannaford,Hannaford,"[0041268136551, 0041268187669, 0041268127016, 0041268213504, 0041268217151, 0041268119578, 0041268217908, 0412681122234, 0041268219742, 0041268218486, 0041268211852, 0041268759026, 0004126812104, 0004126820632, 00070856, 0041268173907, 0041268252312, 0041268250394, 0225530204364, 0041268220441]",726,1
nature-s-promise,Nature's Promise,"[0688267158841, 0041520089946, 0688267556388, 0688267530456, 0688267571671, 0688267568404, 0688267555725, 0688267036453, 0688267039102, 0688267059421, 0688267066481, 0688267066504, 0688267087684, 0688267095825, 0688267127649, 0688267154515, 0688267154614, 0688267156687, 0688267171468, 0688267538520]",724,1
ferrero,Ferrero,"[3662076215305, 5413548040875, 4008400111421, 8000500274736, 8000500315712, 8000500245156, 3344428047108, 0062020005113, 8900500319447, 4008400480428, 80925705, 8000500331149, 3760113473821, 8000500383582, 9300698502819, 3760113474705, 06111210, 8000500399859, 8000500373729, 80903833]",723,1
golden-corral,Golden Corral,"[136602294919476929939, 50063142983917782931, 26930894847444158748, 828474598985293387, 377359886147009711574069, 84366794840497397625321, 27993846998898915, 172464932145397, 288598479505183036511, 5479021849517761659, 91955045748841549255825, 78966605415085977834353, 8110454671670656, 6767308482790630609694, 82368194758933387832, 2815427545342418429061, 305254505985854487133249, 172173967408548783591, 88119422459440474989, 4847848949279940415562]",718,1
clever,Clever,"[8594012792654, 9009865007729, 9010158008927, 9010158010227, 9010437003124, 9010158012320, 9010437033657, 9002233063907, 9010437016650, 9009865005855, 9010158001423, 9010158011927, 9010158004301, 9003740094408, 9010158016441, 9010437001298, 9003740096822, 9003740091186, 8594007126921, 8033803726558]",715,1
carrefour-bio,Carrefour Bio,"[5400101069510, 8433276159769, 2710802003175, 2409032023298, 3560071260248, 19139593, 3560071422813, 3760010132654, 8012666041077, 8001350020535, 5400101069534, 3560071408527, 0287515022561, 8431876299533, 8412276111434, 8012666056224, 3560071261573, 3560071261092, 8012666043224, 3560071158262]",714,1
twinings,Twinings,"[11371175, 0070177247935, 0070177025700, 0070177175603, 0070177137755, 0070177189358, 0070177176938, 54860100, 0070177229498, 0070177227456, 7261022376556, 0070177177614, 0070177133382, 0070177226541, 0070177225872, 0070177231026, 0070177540364, 0070177172517, 00187145, 0070177232153]",714,1
sigma,Sigma,"[7501040090851, 7501040090097, 7501040091308, 7501040092862, 7501040093449, 8004348113370, 8004348139479, 8004348141724, 8004348133156, 8004348142295, 8004348138366, 8004348135938, 8004348133965, 8004348136935, 8004348148983, 8004348137550, 8004348144282, 8004348107270, 8004348128008, 8004348144657]",709,1
nespresso,Nespresso,"[7640140337371, 7630047680465, 7630311511150, 7630047680045, 7630311500444, 7630428734947, 7630311550593, 7630311550012, 5364630301728, 7630477849272, 7630428712433, 7630054465840, 7630311549733, 7630311541034, 0640154061569, 0000763004765, 7630047652714, 7630054488344, 7630428774868, 7630428707194]",703,1
moulin-des-moines,Moulin des moines,"[3347434889809, 3347430018616, 01445671, 0200001005053, 3347430004350, 3347430000093, 3347430015592, 3347430006705, 3347433062326, 3347430005791, 3347430017909, 3347430021586, 3347430021968, 3347430012478, 3347435013555, 3347434889700, 3347430005104, 3347432100012, 3347434889793, 3347430005371]",701,1
walkers,Walkers,"[5011555033660, 5011555023678, 5000328987835, 5011555041054, 5000328223353, 0039047046641, 5000328530130, 0039047016033, 5000328329529, 5000328263113, 5000328262079, 5000328262321, 0039043666218, 5000328015897, 5000328015941, 5000328013930, 5000328015873, 5000328013626, 0000200008274, 0005100000100]",700,1
kinder,Kinder,"[80945970, 8000500199626, 80052326, 12425860, 93698108, 8000500322994, 8000500380482, 0009800520152, 0009800520251, 40209890, 14556435, 0009800520169, 8000500415399, 0601555050047, 8000500295441, 0062020015730, 8000500180792, 19366791, 0755795390057, 80896265]",698,1
iglo,Iglo,"[5410148126404, 8717774266182, 5414807004577, 5414807000067, 5410148441309, 4250241202855, 5410148493605, 5414807004560, 5414807604821, 9008695973716, 9000143017126, 5051751000752, 4250241208871, 5414807007486, 9008695903324, 5414807007547, 9008695958522, 9100000066066, 4250241209434, 0451202483007]",698,1
lucien-georgelin,Lucien Georgelin,"[3330720332196, 3330720229564, 3330720634351, 3572420000535, 3330720254979, 3330720633316, 3330720633262, 3330720433305, 03581674, 3330720537393, 3330720229533, 3330720229618, 3330720519511, 3330720010100, 3330720433312, 3330720251572, 54255223000399, 3330720253934, 3330724624617, 3330720565068]",695,1
naturaplan,Naturaplan,"[7613413085163, 2115935020554, 7610809126660, 7613413402588, 61738201, 2110464010557, 7613356221451, 7613413549726, 2112427013650, 7613356828551, 2400060004402, 277613356719354500000195, 2111861006006, 7624841028820, 7613413675074, 2111823008505, 7613379692115, 7613413758920, 7627534497507, 30022492]",694,1
botanical-interests,Botanical Interests,"[0736210775338, 0736210780141, 0736210780264, 0736210762468, 0736210762833, 0736210775031, 0736210731730, 0736210700941, 0736210612947, 0736210609541, 0736210611766, 0736210504723, 0736210506451, 0736210501951, 0736210500091, 0736210315763, 0736210316456, 0736210312953, 0736210312342, 0736210309540]",693,1
volae,Volaé,"[0211792025786, 2406717022119, 0211632017650, 0209278021452, 0211933022568, 0211791030378, 0211119022566, 0211791033720, 0210399025526, 0209278017912, 2406717025066, 2410712070259, 0211114016461, 2410721068353, 0212447044749, 0211633022172, 0211633022707, 0211110019688, 0211120032349, 0211791027811]",690,1
whole-foods,Whole Foods,"[0195515024020, 0842379122651, 0099482506148, 0099482511234, 0099482516826, 0099482500009, 0845385120710, 0258759005993, 0099482427733, 0099482449438, 0999482000557, 0009948252014, 0299565008129, 0296167010765, 19632911, 0263607010524, 0099482531720, 0099482526481, 5012246072968, 5051246180082]",689,1
signature-select,Signature Select,"[0021130320554, 0021130140985, 0021130139194, 0021130601134, 0021130453177, 0021130164639, 0021130454563, 0021130333097, 0021130298303, 0021130141173, 0021130167265, 0021130006267, 0021130164295, 0208845721610, 0268225804999, 0021130194193, 0021130191406, 0021130141395, 0021260182121, 0021130160327]",688,1
italiamo,Italiamo,"[20684877, 4056489009207, 51200787, 2223710004580, 4056489042372, 4056489525011, 0204540854660, 20048686, 20054830, 20097868, 20138318, 20211394, 20213114, 20228064, 20277321, 20386238, 20401757, 20408084, 20419936, 20456436]",688,1
